	Unnamed: 0	Neighborhood	URL	Title	Latitude	Longitude
81	81	Old Mill	/wiki/Old_Mill,_Toronto	Old Mill, Toronto	43.651301200000006	-79.49547530000001
82	82	Tichester	/wiki/York,_Toronto	York, Toronto	43.6896191	-79.479188
83	83	Bermondsey	/wiki/Bermondsey,_Toronto	Bermondsey, Toronto	43.713824200000005	-79.31067759999999
84	84	Crescent Town	/wiki/Crescent_Town	Crescent Town, Toronto	43.695403000000006	-79.293099
85	85	O'Connor–Parkview	/wiki/O%27Connor%E2%80%93Parkview	O'Connor–Parkview, Toronto	43.7070599	-79.31163029999999
86	86	Old East York	/wiki/Old_East_York	Old East York, Toronto	43.6913391	-79.3278212
87	87	Dovercourt Park	/wiki/Dovercourt_Park	Dovercourt Park, Toronto	43.6651844	-79.433504844005
88	88	Fashion District	/wiki/Fashion_District,_Toronto	Fashion District, Toronto	43.6454561	-79.3949942
89	89	The Junction	/wiki/The_Junction	The Junction, Toronto	43.6654775	-79.470352
90	90	Little Tibet	/wiki/Little_Tibet,_Toronto	Little Tibet, Toronto	43.6389445	-79.4273119
91	91	Moore Park	/wiki/Moore_Park,_Toronto	Moore Park, Toronto	43.6903876	-79.3832965
92	92	Norway	/wiki/Upper_Beaches	Upper Beaches, Toronto	43.6710244	-79.296712
93	93	Quayside	/wiki/Quayside,_Toronto	Quayside, Toronto	43.6472502	-79.3581720783773
94	94	Railway Lands	/wiki/Railway_Lands	Railway Lands, Toronto	49.266346899999995	-123.23674579999998
95	95	St. James Town	/wiki/St._James_Town	St. James Town, Toronto	43.6694032	-79.37270409999999
96	96	Upper Beaches	/wiki/Upper_Beaches	Upper Beaches, Toronto	43.6710244	-79.296712
97	97	Uptown Toronto	/wiki/Uptown_Toronto	Uptown Toronto, Toronto	43.6694927	-79.3874145473265
98	98	Wychwood Park	/wiki/Wychwood_Park	Wychwood Park, Toronto	43.677743	-79.42018497794459
99	99	Yorkville	/wiki/Yorkville,_Toronto	Yorkville, Toronto	43.67138610000001	-79.3901677
100	100	Don Mills	/wiki/Don_Mills	Don Mills, Toronto	43.737178	-79.3434514
101	101	Flemingdon Park	/wiki/Flemingdon_Park	Flemingdon Park, Toronto	43.7184315	-79.33320400000001
102	102	Henry Farm	/wiki/Henry_Farm	Henry Farm, Toronto	43.7695089	-79.35429599999999
103	103	Hillcrest Village	/wiki/Hillcrest_Village	Hillcrest Village, Toronto	43.7996637	-79.3650189
104	104	Hoggs Hollow	/wiki/Hoggs_Hollow	Hoggs Hollow, Toronto	43.741534200000004	-79.4028781
105	105	Lawrence Heights	/wiki/Lawrence_Heights	Lawrence Heights, Toronto	43.722778399999996	-79.45093320000001
106	106	Parkway Forest	/wiki/Parkway_Forest	Parkway Forest, Toronto	43.77166	-79.3426631
107	107	Parkwoods	/wiki/Parkwoods	Parkwoods, Toronto	43.7587999	-79.32019659999999
108	108	Teddington Park	/wiki/Teddington_Park	Teddington Park, Toronto	43.7335308	-79.4021667
109	109	Victoria Village	/wiki/Victoria_Village	Victoria Village, Toronto	43.732658	-79.3111892
110	110	York Mills	/wiki/York_Mills	York Mills, Toronto	43.7461836	-79.4204541
111	111	Armadale	/wiki/Armadale,_Ontario	Armadale, Ontario, Toronto	43.8365868	-79.25115509999999
112	112	Eglinton East	/wiki/Eglinton_East	Eglinton East, Toronto	43.739622	-79.23229040000001
113	113	L'Amoreaux	/wiki/L%27Amoreaux	L'Amoreaux, Toronto	43.799003000000006	-79.30596690000002
114	114	Maryvale	/wiki/Maryvale,_Toronto	Maryvale, Toronto	43.7590508	-79.31022970000001
115	115	Morningside Heights	/wiki/Morningside_Heights,_Toronto	Morningside Heights, Toronto	43.823700099999996	-79.2241521
116	116	Port Union	/wiki/Port_Union,_Toronto	Port Union, Toronto	43.7755039	-79.13497650000001
