	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
0	M5A	Downtown Toronto	Harbourfront	/wiki/Harbourfront_(Toronto)	Harbourfront, Toronto	43.6400801	-79.3801495
1	M6A	North York	Lawrence Manor	/wiki/Lawrence_Manor	Lawrence Manor, Toronto	43.7220788	-79.4375067
2	M7A	Queen's Park	Queen's Park	/wiki/Queen%27s_Park_(Toronto)	Queen's Park, Toronto	43.6599803	-79.3903686
3	M4A	North York	Victoria Village	/wiki/Victoria_Village	Victoria Village, Toronto	43.732658	-79.3111892
4	M5A	Downtown Toronto	Regent Park	/wiki/Regent_Park	Regent Park, Toronto	43.6607056	-79.3604569
5	M9A	Etobicoke	Islington Avenue	/wiki/Islington_Avenue	Islington Avenue, Toronto	43.6393743	-79.5212175
6	M1B	Scarborough	Malvern	/wiki/Malvern,_Toronto	Malvern, Toronto	43.8091955	-79.2217008
7	M3B	North York	Don Mills North	/wiki/North_York	North York, Toronto	43.7708175	-79.4132998
8	M4B	East York	Woodbine Gardens	/wiki/Woodbine_Gardens	Woodbine Gardens, Toronto	43.7120785	-79.3025673
9	M5B	Downtown Toronto	Ryerson	/wiki/Downtown_Toronto	Downtown Toronto, Toronto	43.6541737	-79.3808116451341
10	M6B	North York	Glencairn	/wiki/North_York	North York, Toronto	43.7708175	-79.4132998
11	M9B	Etobicoke	Cloverdale	/wiki/Etobicoke	Etobicoke, Toronto	43.67145915	-79.5524920661167
12	M9B	Etobicoke	Islington	/wiki/Islington,_Toronto	Islington, Toronto	43.6453376	-79.52487
13	M9B	Etobicoke	Martin Grove	/wiki/Etobicoke	Etobicoke, Toronto	43.67145915	-79.5524920661167
14	M1C	Scarborough	Port Union	/wiki/Port_Union,_Toronto	Port Union, Toronto	43.7755039	-79.1349765
15	M3C	North York	Don Mills South	/wiki/North_York	North York, Toronto	43.7708175	-79.4132998
16	M4C	East York	Woodbine Heights	/wiki/Woodbine_Heights	Woodbine Heights, Toronto	43.6999302	-79.3191316
17	M9C	Etobicoke	Bloordale Gardens	/wiki/Etobicoke	Etobicoke, Toronto	43.67145915	-79.5524920661167
18	M9C	Etobicoke	Old Burnhamthorpe	/wiki/Etobicoke	Etobicoke, Toronto	43.67145915	-79.5524920661167
19	M1E	Scarborough	Guildwood	/wiki/Scarborough,_Toronto	Scarborough, Toronto	43.773077	-79.257774
20	M6E	York	Caledonia-Fairbanks		, Toronto	43.653963	-79.387207
21	M1G	Scarborough	Woburn	/wiki/Woburn,_Toronto	Woburn, Toronto	43.7598243	-79.2252908
22	M4G	East York	Leaside	/wiki/Leaside	Leaside, Toronto	43.7047983	-79.3680904
23	M1H	Scarborough	Cedarbrae	/wiki/Scarborough,_Toronto	Scarborough, Toronto	43.773077	-79.257774
24	M3H	North York	Bathurst Manor	/wiki/Bathurst_Manor	Bathurst Manor, Toronto	43.76389295	-79.4563669371095
25	M3H	North York	Downsview North	/wiki/North_York	North York, Toronto	43.7708175	-79.4132998
26	M5H	Downtown Toronto	King	/wiki/Downtown_Toronto	Downtown Toronto, Toronto	43.6541737	-79.3808116451341
27	M6H	West Toronto	Dovercourt Village	/wiki/Dovercourt_Village	Dovercourt Village, Toronto	43.6653069	-79.4326362
28	M6H	West Toronto	Dufferin	/wiki/West_Toronto	West Toronto, Toronto	43.653963	-79.387207
29	M1J	Scarborough	Scarborough Village	/wiki/Scarborough_Village	Scarborough Village, Toronto	43.7437422	-79.2116324
30	M2J	North York	Henry Farm	/wiki/Henry_Farm	Henry Farm, Toronto	43.7695089	-79.354296
31	M2J	North York	Oriole	/wiki/North_York	North York, Toronto	43.7708175	-79.4132998
32	M3J	North York	Northwood Park	/wiki/Northwood_Park	Northwood Park, Toronto	43.7541351	-79.50448
33	M3J	North York	York University	/wiki/York_University	York University, Toronto	43.7705877	-79.5008332
34	M5J	Downtown Toronto	Harbourfront East	/wiki/Downtown_Toronto	Downtown Toronto, Toronto	43.6541737	-79.3808116451341
35	M6J	West Toronto	Little Portugal	/wiki/Little_Portugal,_Toronto	Little Portugal, Toronto	43.64741325	-79.4311163254605
36	M6J	West Toronto	Trinity	/wiki/Trinity%E2%80%93Bellwoods	Trinity–Bellwoods, Toronto	43.64756465	-79.4138809026667
37	M1K	Scarborough	Kennedy Park	/wiki/Kennedy_Park,_Toronto	Kennedy Park, Toronto	43.724878	-79.2539688
38	M3A	North York	Parkwoods	/wiki/Parkwoods	Parkwoods, Toronto	43.7587999	-79.3201966
39	M6A	North York	Lawrence Heights	/wiki/Lawrence_Heights	Lawrence Heights, Toronto	43.7227784	-79.4509332
40	M4B	East York	Parkview Hill	/wiki/Parkview_Hill	Parkview Hill, Toronto	43.7062977	-79.3219073
41	M5B	Downtown Toronto	Garden District	/wiki/Downtown_Toronto	Downtown Toronto, Toronto	43.6541737	-79.3808116451341
42	M3C	North York	Flemingdon Park	/wiki/Flemingdon_Park	Flemingdon Park, Toronto	43.7184315	-79.333204
43	M5C	Downtown Toronto	St. James Town	/wiki/St._James_Town	St. James Town, Toronto	43.6694032	-79.3727041
44	M9C	Etobicoke	Eringate	/wiki/Etobicoke	Etobicoke, Toronto	43.67145915	-79.5524920661167
45	M9C	Etobicoke	Markland Wood	/wiki/Markland_Wood	Markland Wood, Toronto	43.63123795	-79.5854368166265
46	M1E	Scarborough	Morningside	/wiki/Morningside,_Toronto	Morningside, Toronto	43.7826012	-79.2049579
47	M1E	Scarborough	West Hill	/wiki/West_Hill,_Toronto	West Hill, Toronto	43.7689144	-79.1872905
48	M4E	East Toronto	The Beaches	/wiki/The_Beaches	The Beaches, Toronto	43.6710244	-79.296712
49	M5G	Downtown Toronto	Central Bay Street	/wiki/Downtown_Toronto	Downtown Toronto, Toronto	43.6541737	-79.3808116451341
